Date,Stock,Volatility
2023-12-01,A,0
2023-12-01,AAL,0
2023-12-01,ABG,0
2023-12-01,ABT,0
2023-12-01,ACA,0
2023-12-01,ACCO,0
2023-12-01,ACIW,0
2023-12-01,ACNT,0
2023-12-01,ACU,0
2023-12-01,ADP,0
2023-12-01,ADSK,0
2023-12-01,AEE,0
2023-12-01,AEIS,0
2023-12-01,AEP,0
2023-12-01,AES,0
2023-12-01,AGX,0
2023-12-01,AINC,0
2023-12-01,AIR,0
2023-12-01,AIRT,0
2023-12-01,ALCO,0
2023-12-01,ALGT,0
2023-12-01,ALIM,0
2023-12-01,ALK,0
2023-12-01,ALKS,0
2023-12-01,ALSN,0
2023-12-01,AMAT,0
2023-12-01,AMCX,0
2023-12-01,AMN,0
2023-12-01,AMSC,0
2023-12-01,AMZN,0
2023-12-01,ANET,0
2023-12-01,ANF,0
2023-12-01,ANIK,0
2023-12-01,ANSS,0
2023-12-01,AOS,0
2023-12-01,APD,0
2023-12-01,APEI,0
2023-12-01,AQB,0
2023-12-01,ARLP,0
2023-12-01,ARTNA,0
2023-12-01,ARVN,0
2023-12-01,ASGN,0
2023-12-01,ASH,0
2023-12-01,ASUR,0
2023-12-01,ASYS,0
2023-12-01,ATNI,0
2023-12-01,ATO,0
2023-12-01,AUPH,0
2023-12-01,AVA,0
2023-12-01,AVAV,0
2023-12-01,AVD,0
2023-12-01,AWR,0
2023-12-01,AXL,0
2023-12-01,AYI,0
2023-12-01,B,0
2023-12-01,BALL,0
2023-12-01,BAX,0
2023-12-01,BBU,0
2023-12-01,BDC,0
2023-12-01,BELFA,0
2023-12-01,BELFB,0
2023-12-01,BERY,0
2023-12-01,BFAM,0
2023-12-01,BHC,0
2023-12-01,BHE,0
2023-12-01,BIDU,0
2023-12-01,BIG,0
2023-12-01,BIIB,0
2023-12-01,BIP,0
2023-12-01,BJ,0
2023-12-01,BKH,0
2023-12-01,BLDP,0
2023-12-01,BLMN,0
2023-12-01,BMRN,0
2023-12-01,BMY,0
2023-12-01,BRO,0
2023-12-01,BSM,0
2023-12-01,BSX,0
2023-12-01,BWA,0
2023-12-01,CABO,0
2023-12-01,CACI,0
2023-12-01,CAH,0
2023-12-01,CAL,0
2023-12-01,CALM,0
2023-12-01,CARS,0
2023-12-01,CBRL,0
2023-12-01,CBT,0
2023-12-01,CCRN,0
2023-12-01,CCS,0
2023-12-01,CDLX,0
2023-12-01,CDNS,0
2023-12-01,CDW,0
2023-12-01,CEIX,0
2023-12-01,CENT,0
2023-12-01,CETX,0
2023-12-01,CHDN,0
