Date,Open,Close,High,Low,Volume,Amount,Avg_Price,Return,Volatility,Revenue,Net Income,Gross Profit,EPS,Total Assets,Total Liabilities,Total Equity,Cash and Cash Equivalents,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Stock
2022-01-01,164.634,144.954,165.074,136.849,40101533,5732915233.0,148.347,-12.188473048450998,1.7957212354026617,1673999999.9999998,283000000.0,910000000.0,0.94,10330000000.0,5173000000.0,5154000000.0,1113000000.0,255000000.0,-79000000.0,-546000000.0,A
2022-02-01,146.164,135.994,150.734,128.694,42313071,5677740836.0,141.94768421052632,-6.181271299860647,2.117434560535969,1673999999.9999998,283000000.0,910000000.0,0.94,10330000000.0,5173000000.0,5154000000.0,1113000000.0,255000000.0,-79000000.0,-546000000.0,A
2022-03-01,136.464,137.964,145.834,132.534,46251907,6205439484.0,139.88921739130433,1.4485933202935453,2.072636647852288,1673999999.9999998,283000000.0,910000000.0,0.94,10330000000.0,5173000000.0,5154000000.0,1113000000.0,255000000.0,-79000000.0,-546000000.0,A
2022-04-01,139.814,125.114,142.924,123.084,43916920,5566594897.0,132.8675,-9.31402394827636,2.113011889012101,3281000000.0,557000000.0,1771000000.0,1.86,10460000000.0,5333000000.0,5122000000.0,1186000000.0,538000000.0,-155000000.0,-669000000.0,A
2022-05-01,124.224,133.404,136.614,118.484,45551962,5564296127.0,127.5192380952381,6.62595712710008,2.746538134923863,3281000000.0,557000000.0,1771000000.0,1.86,10460000000.0,5333000000.0,5122000000.0,1186000000.0,538000000.0,-155000000.0,-669000000.0,A
2022-06-01,133.704,124.614,137.044,118.364,35110239,4202306126.0,126.18019047619048,-6.589007825852288,2.168207113756793,3281000000.0,557000000.0,1771000000.0,1.86,10460000000.0,5333000000.0,5122000000.0,1186000000.0,538000000.0,-155000000.0,-669000000.0,A
2022-07-01,124.844,140.154,140.554,119.074,27261533,3351760632.0,128.601,12.470508931580705,2.1679253077730114,4999000000.0,886000000.0,2710000000.0,2.95,10480000000.0,5393000000.0,5091000000.0,1071000000.0,864000000.0,-228000000.0,-1031000000.0,A
2022-08-01,139.564,134.304,155.054,133.209,32067005,4305568412.0,139.24747826086957,-4.1739800505158575,2.2211985547998627,4999000000.0,886000000.0,2710000000.0,2.95,10480000000.0,5393000000.0,5091000000.0,1071000000.0,864000000.0,-228000000.0,-1031000000.0,A
2022-09-01,133.684,127.604,146.054,126.654,31680890,4097576283.0,134.8797142857143,-4.988682392184895,1.6429757504610054,4999000000.0,886000000.0,2710000000.0,2.95,10480000000.0,5393000000.0,5091000000.0,1071000000.0,864000000.0,-228000000.0,-1031000000.0,A
2022-10-01,128.994,144.614,145.574,127.944,27011517,3517686451.0,137.0578095238095,13.330303125293884,2.125559189677816,6848000000.0,1254000000.0,3722000000.0,4.19,10530000000.0,5227000000.0,5305000000.0,1053000000.0,1312000000.0,-338000000.0,-1372000000.0,A
2022-11-01,145.764,161.244,163.704,136.924,30724422,4507027012.0,151.96638095238094,11.499578187450732,2.697176775754224,6848000000.0,1254000000.0,3722000000.0,4.19,10530000000.0,5227000000.0,5305000000.0,1053000000.0,1312000000.0,-338000000.0,-1372000000.0,A
2022-12-01,162.994,156.139,166.529,152.144,25282580,3840780703.0,158.10090476190476,-3.166009277864601,1.3788436221960936,6848000000.0,1254000000.0,3722000000.0,4.19,10530000000.0,5227000000.0,5305000000.0,1053000000.0,1312000000.0,-338000000.0,-1372000000.0,A
2023-01-01,158.449,158.569,166.079,149.499,25394910,3889358896.0,160.503,1.5563055994978647,1.7554141612723124,1755999999.9999998,352000000.0,968000000.0,1.19,10920000000.0,5310000000.0,5609000000.0,1250000000.0,296000000.0,-104000000.0,-17000000.0,A
2023-02-01,159.799,148.459,163.799,145.209,23987443,3562937146.0,156.04584210526318,-6.375773322654488,1.288184629725749,1755999999.9999998,352000000.0,968000000.0,1.19,10920000000.0,5310000000.0,5609000000.0,1250000000.0,296000000.0,-104000000.0,-17000000.0,A
2023-03-01,145.069,144.829,151.924,134.709,38086236,5189892391.0,143.10160869565215,-2.445119527950479,1.832595954481384,1755999999.9999998,352000000.0,968000000.0,1.19,10920000000.0,5310000000.0,5609000000.0,1250000000.0,296000000.0,-104000000.0,-17000000.0,A
2023-04-01,144.134,142.144,148.194,134.824,27783772,3799826465.0,144.10189473684213,-1.8539104737310907,1.7433911171561018,3472999999.9999995,654000000.0,1892000000.0,2.21,10790000000.0,5011000000.0,5781000000.0,1175000000.0,694000000.0,-181000000.0,-407000000.0,A
2023-05-01,142.734,122.384,143.874,119.994,46206441,5783735121.0,134.33445454545455,-13.90139576767222,1.568916783431915,3472999999.9999995,654000000.0,1892000000.0,2.21,10790000000.0,5011000000.0,5781000000.0,1175000000.0,694000000.0,-181000000.0,-407000000.0,A
2023-06-01,123.684,127.189,129.889,120.874,51249306,6053901953.0,124.90614285714284,3.926166819192045,1.1739333565061223,3472999999.9999995,654000000.0,1892000000.0,2.21,10790000000.0,5011000000.0,5781000000.0,1175000000.0,694000000.0,-181000000.0,-407000000.0,A
2023-07-01,126.959,128.709,136.939,122.594,38313231,4717739331.0,129.0005,1.1950719008719357,1.3705613487221564,5145000000.0,765000000.0,2550000000.0,2.59,10680000000.0,5117000000.0,5558000000.0,1329000000.0,1256000000.0,-270000000.0,-729000000.0,A
2023-08-01,128.719,128.009,136.929,124.269,41877144,5164556301.0,130.10378260869567,-0.5438625115570916,1.4128475535890428,5145000000.0,765000000.0,2550000000.0,2.59,10680000000.0,5117000000.0,5558000000.0,1329000000.0,1256000000.0,-270000000.0,-729000000.0,A
2023-09-01,129.629,118.759,130.619,115.939,39803880,4538774407.0,120.6655,-7.226054418048722,1.251545083316607,5145000000.0,765000000.0,2550000000.0,2.59,10680000000.0,5117000000.0,5558000000.0,1329000000.0,1256000000.0,-270000000.0,-729000000.0,A
2023-10-01,118.064,110.534,120.994,103.964,46915700,5070882144.0,115.91263636363637,-6.925790887427475,1.6131966826938455,6833000000.0,1240000000.0,3465000000.0,4.22,10760000000.0,4918000000.0,5845000000.0,1590000000.0,1772000000.0,-310000000.0,-930000000.0,A
2022-01-01,7.658,7.001,8.228,6.417,814322924,14305197488.0,7.454649999999999,-7.357416964403862,2.644390194936987,29880000000.0,-1993000000.0,2046000000.0,-3.09,66470000000.00001,73810000000.0,-7340000000.000001,273000000.0,704000000.0,-5983000000.0,5288000000.0,AAL
